"UWI","WELLBORE","TOP_MD","BASE_MD","TOP_TVD","BASE_TVD","STRAT_UNIT_CD","STRAT_UNIT_NM","X_TOP","Y_TOP","X_BASE","Y_BASE","WELL_UWI","WELL_NAME","CRS","DEPTH_UNITS"
"2170","VEH-01","0","226","-26.15","199.85","NUCT","QUATER. UNDIFF.","663959","5701208","663960","5701208","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","226","377","199.85","350.85","NUOT","Oosterhout Formation","663960","5701208","663961","5701209","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","377","730","350.85","703.81","NUBAU","upper Breda member","663961","5701209","663965","5701209","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","730","760","703.81","733.81","NUVIH","Heksenberg Member","663965","5701209","663966","5701209","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","760","861","733.81","834.8","NUBAL","lower Breda member","663966","5701209","663967","5701210","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","861","935","834.8","908.79","NMVFS","Someren member","663967","5701210","663968","5701210","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","935","1047","908.79","1020.79","NMVFO","Veldhoven Clay Member","663968","5701210","663968","5701210","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","1047","1103","1020.79","1076.79","NMVFV","Voort Member","663968","5701210","663968","5701210","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","1103","1213","1076.79","1186.79","NMRFC","Rupel Clay Member","663968","5701210","663969","5701210","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","1213","1229","1186.79","1202.79","NMRFV","VESSEM MB","663969","5701210","663969","5701210","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","1229","1258","1202.79","1231.79","NLFFY","Ieper Member","663969","5701210","663969","5701210","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","1258","1279","1231.79","1252.79","NLFFD","Basal Dongen Sand Member","663969","5701210","663969","5701210","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","1279","1363","1252.79","1336.79","NLLFR","Reusel Member","663969","5701210","663970","5701210","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","1363","1395","1336.79","1368.79","NLLFC","Landen Clay Member","663970","5701210","663970","5701210","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","1395","1412","1368.79","1385.79","NLLFG","Gelinden Member","663970","5701210","663970","5701210","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","1412","1423","1385.79","1396.79","NLLFS","Heers Member","663970","5701210","663970","5701210","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","1423","1425","1396.79","1398.79","NLLFL","Swalmen Member","663970","5701210","663970","5701210","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","1425","1470","1398.79","1443.79","CKHM","Houthem Formation","663970","5701210","663971","5701210","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","1470","1485","1443.79","1458.79","ATBR3","Upper Brabant Limestone Member","663971","5701210","663971","5701210","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","1485","1607","1458.79","1580.77","ATBRM","Middle Brabant Marl Member","663971","5701210","663972","5701212","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","1607","1656","1580.77","1629.73","ATBR2","Middle Brabant Limestone Member","663972","5701212","663972","5701213","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","1656","1715","1629.73","1688.62","ATBRL","Lower Brabant Marl Member","663972","5701213","663973","5701216","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","1715","1755","1688.62","1728.44","ATBR1","Lower Brabant Limestone Member","663973","5701216","663974","5701220","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","1755","1951","1728.44","1922.86","ATWDU","Upper Werkendam Member","663974","5701220","663985","5701242","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","1951","1996","1922.86","1967.48","ATWDM","Middle Werkendam Member","663985","5701242","663987","5701247","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","1996","2060","1967.48","2031.15","ATWDL","Lower Werkendam Member","663987","5701247","663989","5701253","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","2060","2106","2031.15","2076.93","ATPO","Posidonia Shale Formation","663989","5701253","663991","5701257","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
"2170","VEH-01","2106","2124","2076.93","2094.86","ATAL","Aalburg Formation","663991","5701257","663991","5701259","2170","VEH-01","WGS 84 / UTM zone 31N ","M"
